"Hierarchy Level","Page Type","Page Path","Page ID","Page Title","Full URL","Taxonomy Level 1","Taxonomy Level 2","Taxonomy Level 3","Taxonomy Level 4","Taxonomy Level 5","Taxonomy Level 6","Taxonomy URL Level 1","Taxonomy URL Level 2","Taxonomy URL Level 3","Taxonomy URL Level 4","Taxonomy URL Level 5","Taxonomy URL Level 6","Toggle URL",hasBenefitCategory,"Page Language",Categories
4,"Content Page",/social-security-disability,107,"SSDI and SSI benefits for people with disabilities",https://www.usa.gov/social-security-disability,Home,"Government benefits","Social Security","SSDI and SSI benefits for people with disabilities","SSDI and SSI benefits for people with disabilities","SSDI and SSI benefits for people with disabilities",/,/benefits,/social-security,/social-security-disability,/social-security-disability,/social-security-disability,https://www.usa.gov/es/seguro-social-incapacidad-discapacidad,1,"USAGov English","Disabilities; Retirement and seniors; Welfare and cash assistance"
4,"Content Page",/social-security-abroad,108,"Getting Social Security benefits if you are living outside the U.S.",https://www.usa.gov/social-security-abroad,Home,"Government benefits","Social Security","Social Security benefits abroad","Social Security benefits abroad","Social Security benefits abroad",/,/benefits,/social-security,/social-security-abroad,/social-security-abroad,/social-security-abroad,https://www.usa.gov/es/beneficios-seguro-social-extranjero,1,"USAGov English","Retirement and seniors"
4,"Content Page",/social-security-card,109,"How to get, replace, or correct a Social Security card",https://www.usa.gov/social-security-card,Home,"Government benefits","Social Security","Get, replace, or correct a Social Security card","Get, replace, or correct a Social Security card","Get, replace, or correct a Social Security card",/,/benefits,/social-security,/social-security-card,/social-security-card,/social-security-card,https://www.usa.gov/es/sacar-reemplazar-tarjeta-seguro-social,,"USAGov English"
3,"Content Page",/government-checks-payments,110,"Government checks and payments",https://www.usa.gov/government-checks-payments,Home,"Government benefits","Government checks and payments","Government checks and payments","Government checks and payments","Government checks and payments",/,/benefits,/government-checks-payments,/government-checks-payments,/government-checks-payments,/government-checks-payments,https://www.usa.gov/es/cheques-pagos-del-gobierno,,"USAGov English"
3,"Content Page",/report-incorrect-benefit-payments,111,"Where to report incorrect benefit payments",https://www.usa.gov/report-incorrect-benefit-payments,Home,"Government benefits","Report incorrect benefit payments","Report incorrect benefit payments","Report incorrect benefit payments","Report incorrect benefit payments",/,/benefits,/report-incorrect-benefit-payments,/report-incorrect-benefit-payments,/report-incorrect-benefit-payments,/report-incorrect-benefit-payments,https://www.usa.gov/es/reportar-pagos-equivocados-gobierno,,"USAGov English"
3,"Navigation Page",/social-security,112,"Social Security",https://www.usa.gov/social-security,Home,"Government benefits","Social Security","Social Security","Social Security","Social Security",/,/benefits,/social-security,/social-security,/social-security,/social-security,https://www.usa.gov/es/seguro-social,,"USAGov English"
3,"Content Page",/identity-theft,115,"Identity theft",https://www.usa.gov/identity-theft,Home,"Scams and fraud","Identity theft","Identity theft","Identity theft","Identity theft",/,/scams-and-fraud,/identity-theft,/identity-theft,/identity-theft,/identity-theft,https://www.usa.gov/es/robo-identidad,,"USAGov English"
3,"Content Page",/imposter-scams,116,"Imposter scams",https://www.usa.gov/imposter-scams,Home,"Scams and fraud","Imposter scams","Imposter scams","Imposter scams","Imposter scams",/,/scams-and-fraud,/imposter-scams,/imposter-scams,/imposter-scams,/imposter-scams,https://www.usa.gov/es/estafas-impostores,,"USAGov English"
3,"Content Page",/unemployment-scams,117,"Unemployment scams",https://www.usa.gov/unemployment-scams,Home,"Scams and fraud","Unemployment scams","Unemployment scams","Unemployment scams","Unemployment scams",/,/scams-and-fraud,/unemployment-scams,/unemployment-scams,/unemployment-scams,/unemployment-scams,https://www.usa.gov/es/estafas-beneficios-desempleo,,"USAGov English"
3,"Navigation Page",/food-help,120,"Food assistance",https://www.usa.gov/food-help,Home,"Government benefits","Food assistance","Food assistance","Food assistance","Food assistance",/,/benefits,/food-help,/food-help,/food-help,/food-help,https://www.usa.gov/es/asistencia-alimentaria,,"USAGov English"
